# EXPERIMENT ES116A_LAB
# CH01 1626.49 LSB 32.00 RCP
# CH02 1626.49 LSB 32.00 LCP
# CH03 1626.49 USB 32.00 RCP
# CH04 1626.49 USB 32.00 LCP
# POL XY
# CAL_PREFIX scan cal
J0408-6545 | PKS 0408-65 | PKS 0407-65, radec bfcal single_accumulation, 04:08:20.37884, -65:45:09.0806, (850.0 1720.0 66.46 -62.7 20.46 -2.265), scan cal00, 2026-04-22 12:13:00.000, 240
*J1029A, radec, 10:29:13.9500000, 26:23:17.960000, (), scan No0001, 2026-04-22 12:19:00.000, 60
*1013+2449, radec, 10:13:53.4287720, 24:49:16.440790, (), scan No0002, 2026-04-22 12:22:00.000, 120
