# EXPERIMENT EM181A  
# CH01 1626.49 LSB 32.00 RCP 
# CH02 1626.49 LSB 32.00 LCP 
# CH03 1626.49 USB 32.00 RCP 
# CH04 1626.49 USB 32.00 LCP 
# POL XY 
# CAL_PREFIX scan cal 
J0408-6545 | PKS 0408-65 | PKS 0407-65, radec bfcal single_accumulation, 04:08:20.37884, -65:45:09.0806, (850.0 1720.0 66.46 -62.7 20.46 -2.265), scan cal00, 2025-02-22 11:47:00.000, 240 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0131, 2025-02-22 14:00:00.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0132, 2025-02-22 14:01:30.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0133, 2025-02-22 14:05:30.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0134, 2025-02-22 14:06:30.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0135, 2025-02-22 14:10:00.000, 90 
*3C48 | J0137+3309 | 0134+329 | J0137+33, radec, 01:37:41.2995122, 33:09:35.133861, (), scan No0137, 2025-02-22 14:17:30.000, 300 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0138, 2025-02-22 14:25:00.000, 180 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0139, 2025-02-22 14:28:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0140, 2025-02-22 14:32:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0141, 2025-02-22 14:33:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0142, 2025-02-22 14:36:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0143, 2025-02-22 14:38:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0144, 2025-02-22 14:42:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0145, 2025-02-22 14:43:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0146, 2025-02-22 14:46:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0147, 2025-02-22 14:48:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0148, 2025-02-22 14:52:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0149, 2025-02-22 14:53:00.000, 210 
